food_id,food_name,id,name,"Energy, by calculation,kcal","Total energy - by calculation,kcal","Protein, total,g","Moisture,g","Fat, total,g","Ash,g","Iron,mg","Calcium,mg","Sodium,mg","Carbohydrate, available,g","b-carotene,mcg","Vitamin D (D2+D3),mcg","Magnesium,mg","Niacin,mg","Fatty acids, total monounsaturated,g","Folate, total,mcg","Riboflavin,mg","Copper,mg","Carbohydrate, total,g","Edible portion,%","Potassium,mg","Fatty acids, total omega-3 polyunsaturated,g","Fatty acids, total omega-6 polyunsaturated,g","Retinol,mcg","Alpha-tocopherol,mg","Vitamin B-6, total,mg","Vitamin B-12,mcg","Phosphorus,mg","Vitamin A; retinol activity equivalent,mcg","Fatty acids, total saturated,g","Vitamin C,mg","Cholesterol,mg","Density,g/mL","Fatty acids, total polyunsaturated,g","Thiamin,mg","True protein,g","Selenium,mcg","Dietary fibre,g","Zinc,mg","Sugars, total,g",Source_id
5,กรอบเค็ม,1656,กรอบเค็ม,480,NULL,6.4,6.2,23.9,2.3,1.2,29,347,58.6,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.44,NULL,NULL,2.6,NULL,26.3,1
7,กระท้อน,2134,กระท้อน,48.14,NULL,0.33,NULL,0.16,NULL,NULL,NULL,NULL,11.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.63,NULL,NULL,2
8,กระยาสารท,1657,"กระยาสารท, รสต่างๆ",524,NULL,9.55,5.4,31.37,1.66,2.73,29,83,49.56,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.5,NULL,27,NULL,NULL,0.07,NULL,NULL,2.4,NULL,21.85,1
9,กระเพาะปลา,1521,กระเพาะปลา,56,NULL,5,88.4,2.95,1,1.35,47,296,1.8,NULL,NULL,NULL,1.6,NULL,NULL,0.17,NULL,NULL,NULL,NULL,NULL,NULL,164,NULL,NULL,NULL,63,164,1.28,NULL,2,NULL,NULL,0.01,NULL,NULL,0.9,NULL,0.6,1
10,กล้วย,696,"กล้วยน้ำว้า, สุก",118,NULL,0.78,68.6,0.15,0.91,0.52,7,4,27.18,39,NULL,25,0.99,NULL,NULL,0.03,0.08,NULL,NULL,241,NULL,NULL,NULL,NULL,NULL,NULL,26,3,NULL,13,NULL,NULL,NULL,0.04,NULL,0.3,2.4,0.13,18.47,1
10,กล้วย,697,"กล้วยหอม, สุก",98,NULL,1.18,73.9,0.11,0.86,0.52,14,4,22.41,62,NULL,21,NULL,NULL,NULL,NULL,0.11,NULL,NULL,347,NULL,NULL,NULL,NULL,NULL,NULL,46,5,NULL,27,NULL,NULL,NULL,NULL,NULL,0.1,1.5,0.12,19.16,1
10,กล้วย,690,"กล้วยไข่, สุก",107,NULL,1.35,71.3,0.11,0.99,0.29,5,22,24.3,211,NULL,26,0.81,NULL,NULL,0.07,0.12,NULL,NULL,243,NULL,NULL,NULL,NULL,NULL,NULL,22,18,NULL,8,NULL,NULL,NULL,0.09,NULL,0.5,2,0.18,21.5,1
11,กล้วยกวน,825,"กล้วย, กวน",340,NULL,3.3,11.5,0.2,1.6,0.6,14,225,79.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.2,NULL,35.7,1
12,กล้วยตาก,692,กล้วยตาก,301,NULL,3.3,19.9,0.7,2.55,0.8,3,50,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6.6,NULL,63.5,1
612,กล้วยทอด,2211,กล้วยทอด,373,NULL,2,NULL,4,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
612,กล้วยทอด,1658,"กล้วย, ทอด",524,NULL,2.1,2.2,30.8,3.3,0.9,20,352,57.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,4,NULL,3,1
13,กล้วยบวชชี,1599,กล้วยบวชชี,107,NULL,0.7,73.8,2.13,1,NULL,6,147,20,31,NULL,NULL,NULL,0.15,NULL,0.01,NULL,NULL,NULL,NULL,0.01,0.06,NULL,NULL,NULL,NULL,NULL,3,1.85,NULL,1,NULL,0.06,0.05,NULL,NULL,2.4,NULL,14,1
14,กล้วยเชื่อม,1598,"กล้วยไข่, เชื่อม",238,NULL,1.2,41.3,1.8,0.7,NULL,NULL,NULL,53.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7,NULL,NULL,1
14,กล้วยเชื่อม,1597,"กล้วย, เชื่อม",79,NULL,0.8,81,1,0.5,0.73,24,55,16.6,NULL,NULL,66,NULL,NULL,NULL,0.02,0.09,NULL,NULL,577,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,NULL,8,NULL,NULL,NULL,0.4,NULL,NULL,0.1,0.93,NULL,1
15,กล้วยแขก,1658,"กล้วย, ทอด",524,NULL,2.1,2.2,30.8,3.3,0.9,20,352,57.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,4,NULL,3,1
32,ก๋วยจั๊บ,1522,ก๋วยจั๊บ,84,NULL,4.55,82.5,3.67,1.08,1.47,NULL,360,8.17,NULL,NULL,16,NULL,0.69,NULL,NULL,NULL,NULL,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL,0.46,NULL,33,NULL,0.24,NULL,NULL,NULL,NULL,1.1,NULL,1
33,ก๋วยจั๊บญวน,158,"ก๋วยจั๊บญวน, เส้น, ต้มสุก",116,NULL,1.37,70.7,0.18,0.09,0.15,10,16,26.83,NULL,NULL,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8,0.12,NULL,1
584,ก๋วยเตี๋ยวปลา,1527,ก๋วยเตี๋ยวเส้นปลา,70,NULL,12.87,81.9,0.73,1.1,0.4,52,228,2.47,NULL,NULL,NULL,NULL,0.16,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.05,NULL,NULL,NULL,NULL,NULL,NULL,0.41,NULL,23,NULL,0.1,NULL,NULL,NULL,0.9,NULL,NULL,1
522,ก๋วยเตี๋ยวหมู,2155,"ก๋วยเตี๋ยวเส้นเล็ก หมู ตับ แห้ง",227,NULL,8,NULL,12,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,NULL,NULL,2
38,ก๋วยเตี๋ยวเซี่ยงไฮ้,369,"ก๋วยเตี๋ยวเซี่ยงไฮ้, แห้ง",360,NULL,0.2,9.1,0.1,0.1,0.6,14,7,88.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.8,NULL,NULL,1
736,ก๋วยเตี๋ยวเนื้อตุ๋น,1523,"ก๋วยเตี๋ยว, เนื้อสับ",NULL,112,3.5,76.2,4.1,1,0.2,41,NULL,NULL,NULL,NULL,NULL,1.3,NULL,NULL,0.61,NULL,15.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,1
35,ก๋วยเตี๋ยวเนื้อสับ,1523,"ก๋วยเตี๋ยว, เนื้อสับ",NULL,112,3.5,76.2,4.1,1,0.2,41,NULL,NULL,NULL,NULL,NULL,1.3,NULL,NULL,0.61,NULL,15.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,1
555,ก๋วยเตี๋ยวเป็ด,1577,"เส้นเล็ก, เป็ด, น้ำ",90,NULL,4.56,80.8,5.15,2.96,NULL,NULL,NULL,6.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,NULL,NULL,1
422,ก๋วยเตี๋ยวเย็นตาโฟ,1528,"ก๋วยเตี๋ยวเส้นใหญ่, น้ำ, เย็นตาโฟ",70,NULL,3.05,84.5,2.67,1.2,0.5,98,239,8.23,NULL,NULL,NULL,0.7,NULL,NULL,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0.03,NULL,NULL,0.4,NULL,NULL,1
40,ก๋วยเตี๋ยวเส้นปลา,1527,ก๋วยเตี๋ยวเส้นปลา,70,NULL,12.87,81.9,0.73,1.1,0.4,52,228,2.47,NULL,NULL,NULL,NULL,0.16,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.05,NULL,NULL,NULL,NULL,NULL,NULL,0.41,NULL,23,NULL,0.1,NULL,NULL,NULL,0.9,NULL,NULL,1
41,ก๋วยเตี๋ยวแกง,1526,"ก๋วยเตี๋ยวแขก (ก๋วยเตี๋ยวแกง)",NULL,131,6.6,75,7.4,1.6,0.4,59,NULL,NULL,NULL,NULL,NULL,1.6,NULL,NULL,0.86,NULL,9.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,0.12,NULL,NULL,NULL,NULL,NULL,1
576,กะเพราไก่,1561,ข้าวราดไก่ผัดใบกะเพรา,NULL,188,8.61,59.5,6.55,1.74,0.4,172,NULL,NULL,NULL,NULL,NULL,2.5,NULL,NULL,0.19,NULL,23.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,1
576,กะเพราไก่,2165,ข้าวราดไก่ผัดใบกะเพรา,188,NULL,9,NULL,7,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,NULL,NULL,2
18,กั้งสด,1032,"กั้ง, เนื้อ, สด",77,NULL,17.2,79.6,0.1,1.2,0.2,85,NULL,1.9,NULL,NULL,NULL,4,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,1
19,กาละแม,1600,กาละแม,407,NULL,2.18,6.6,7.98,0.82,3.2,9,76,80.69,NULL,NULL,NULL,NULL,0.65,NULL,NULL,NULL,NULL,NULL,NULL,0.01,0.25,NULL,NULL,NULL,NULL,NULL,NULL,6.52,NULL,4,NULL,0.19,NULL,NULL,NULL,1.7,NULL,24.19,1
20,กาแฟ,1399,"กาแฟปรุงสำเร็จรูป, ผง",389,NULL,9.08,3.5,6.49,5.02,0.49,178,155,71.38,NULL,NULL,NULL,NULL,NULL,NULL,0.36,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,6.14,NULL,8,NULL,NULL,0.72,NULL,NULL,4.5,NULL,40.83,1
21,กีวี่,2031,"กีวี, สด",57,NULL,0.94,84.6,0.48,0.51,0.21,23,19,11.08,NULL,NULL,10,0.41,NULL,NULL,0.01,0.13,NULL,NULL,244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,NULL,0.24,NULL,NULL,2.4,0.08,9.71,1
24,กุ้งจ่อม,1187,กุ้งจ่อม,54,NULL,10.61,72.3,0.85,14.35,4.42,484,3,0.07,NULL,NULL,31,NULL,NULL,NULL,NULL,0.41,NULL,NULL,241,NULL,NULL,NULL,NULL,NULL,NULL,217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.65,NULL,1.8,0.93,NULL,1
678,กุ้งต้ม,1049,"กุ้งแชบ๊วย, ต้ม",104,NULL,22.34,74.1,1.1,1.28,0.54,83,NULL,1.2,NULL,NULL,48,2.6,0.2,NULL,0.02,NULL,NULL,NULL,269,0.26,0.19,NULL,NULL,NULL,NULL,NULL,NULL,0.34,NULL,168,NULL,0.43,NULL,NULL,NULL,NULL,1.85,0.36,1
590,กุ้งนึ่ง,1038,"กุ้งกร้ามกราม, ตัวเมีย (กุ้งนาง), นึ่ง",117,NULL,22.87,72.1,2.63,1.83,2.3,253,114,0.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
657,กุ้งผัดผงกะหรี่,1450,"แกงกะหรี่, กุ้ง",137,NULL,5.29,76.2,10.31,2.12,1.24,25,404,5.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.51,NULL,29,NULL,NULL,NULL,NULL,NULL,0.8,NULL,3.52,1
22,กุนเชียง,986,"กุนเชียง, หมู, ทอด",513,NULL,14.05,10.4,33.82,3.59,2.38,9,1,37.89,NULL,NULL,NULL,2.82,14.7,NULL,0.1,NULL,NULL,NULL,178,0.25,4.2,21,NULL,NULL,NULL,NULL,21,12.99,NULL,39,NULL,4.56,0.25,NULL,NULL,0.2,1.2,NULL,1
42,ขนมครก,1602,ขนมครก,94,NULL,1.43,79.9,2.9,0.33,NULL,NULL,75,15.47,NULL,NULL,NULL,NULL,0.25,NULL,NULL,NULL,NULL,NULL,NULL,0.01,0.13,NULL,NULL,NULL,NULL,NULL,NULL,2.34,NULL,NULL,NULL,0.13,NULL,NULL,NULL,NULL,NULL,NULL,1
43,ขนมครกสิงคโปร์,1603,ขนมครกสิงคโปร์,267,NULL,3.65,39.3,5.94,1.33,NULL,NULL,258,49.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.46,1
44,ขนมจาก,1604,ขนมจาก,390,NULL,3.37,24.7,20.9,1.13,1.97,11,107,44.17,NULL,NULL,NULL,NULL,4.22,NULL,NULL,NULL,NULL,NULL,NULL,0.01,2.27,NULL,NULL,NULL,NULL,NULL,NULL,13.47,NULL,NULL,NULL,2.28,NULL,NULL,NULL,5.8,NULL,NULL,1
45,ขนมจีน,166,ขนมจีน,103,NULL,1.43,74.4,0.31,0.16,NULL,16,47,23.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,0.6,NULL,NULL,0.3,NULL,NULL,1
46,ขนมจีนน้ำยา,1538,"ขนมจีน, น้ำยา",82,NULL,2.69,80.4,2.11,1.47,0.1,70,419,12.92,NULL,NULL,NULL,0.8,NULL,NULL,0.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,NULL,NULL,1
47,ขนมจีบ,1664,"ขนมจีบ, หมูสับ",119,NULL,5.43,76.8,6.85,1.27,0.7,8,253,8.38,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,0.55,NULL,NULL,1.2,NULL,NULL,1
47,ขนมจีบ,1663,"ขนมจีบ, ไก่",163,NULL,7.97,62,3.9,2.23,0.9,NULL,401,23.9,NULL,NULL,NULL,NULL,1.38,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.71,NULL,NULL,NULL,NULL,NULL,NULL,1.57,NULL,14,NULL,0.78,NULL,NULL,NULL,NULL,NULL,NULL,1
47,ขนมจีบ,1662,"ขนมจีบ, กุ้ง",189,NULL,11.3,62.8,10.4,2.2,0.35,20,521,11.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,NULL,NULL,1
48,ขนมชั้น,1605,ขนมชั้น,249,NULL,1.16,47.1,7.95,0.26,0.2,11,15,42.84,NULL,NULL,NULL,NULL,1.42,NULL,0.05,NULL,NULL,NULL,60,0.03,1.36,NULL,NULL,NULL,NULL,16,NULL,4.76,NULL,NULL,NULL,1.39,0.01,NULL,NULL,0.7,NULL,15.2,1
49,ขนมดู,1606,ขนมดู,355,NULL,2.93,14.7,3.4,0.7,NULL,NULL,112,78.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.13,1
50,ขนมตาล,1607,ขนมตาล,211,NULL,2.14,48.1,0.94,0.47,NULL,NULL,NULL,48.4,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
52,ขนมถ้วยฟู,1608,ขนมถ้วยฟู,NULL,NULL,2,50.5,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
53,ขนมบดิน,1610,ขนมบดิน,389,NULL,8.2,21.4,16,1.27,0.6,NULL,152,53.13,NULL,NULL,NULL,NULL,5.45,NULL,NULL,NULL,NULL,NULL,NULL,0.09,1.21,NULL,NULL,NULL,NULL,NULL,NULL,8.57,NULL,49,NULL,1.32,NULL,NULL,NULL,NULL,NULL,NULL,1
54,ขนมบ้าบิ่น,1612,ขนมบ้าบิ่น,NULL,372,3.3,21.6,12.08,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
56,ขนมปัง,2179,ขนมปังขาวแผ่น,290.7,NULL,11.1,NULL,5.9,NULL,NULL,NULL,391,48.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.5,NULL,3.4,2
56,ขนมปัง,2180,ขนมปังโฮลวีท,285,NULL,11.9,NULL,5.4,NULL,NULL,NULL,415,47.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.9,NULL,NULL,2
57,ขนมปังขาไก่,1737,"ขนมปังขาไก่, รสต่างๆ",456,NULL,9.15,1.5,16.07,3.01,0.89,37,595,67.23,NULL,NULL,NULL,NULL,NULL,NULL,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.37,NULL,NULL,NULL,NULL,0.62,NULL,NULL,3,NULL,6.58,1
58,ขนมปังชีสเชคไส้สับปะรด,1738,ขนมปังชีสเชคไส้สับปะรด,347,NULL,4.75,7.1,4.95,1.45,0.7,94,334,59.77,NULL,NULL,NULL,NULL,NULL,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,0.11,NULL,NULL,22,NULL,39.5,1
59,ขนมปังนมสด,1740,ขนมปังนมสด,279,NULL,11,31.8,4.54,2.5,1.2,193,413,47.06,NULL,NULL,NULL,1.3,1.04,NULL,0.08,NULL,NULL,100,NULL,0.02,0.51,NULL,NULL,NULL,NULL,NULL,14,2.33,NULL,NULL,NULL,0.53,0.04,NULL,NULL,3.1,NULL,6.7,1
64,ขนมปังโฮลวีท,1742,ขนมปังโฮลวีท,273,NULL,11.88,33.5,5.38,1.98,1.87,83,415,41.29,NULL,NULL,41,2.64,NULL,NULL,0.23,NULL,NULL,100,137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.21,NULL,NULL,5.9,NULL,7.2,1
65,ขนมผักกาด,1540,ขนมผักกาด,NULL,200,5.5,59,8.49,1.58,0.5,19,NULL,NULL,NULL,NULL,NULL,1.1,NULL,NULL,0.18,NULL,25.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,1,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,1
66,ขนมฝักบัว,1613,ขนมฝักบัว,NULL,341,2.9,27.2,10.22,0.33,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.1,1
67,ขนมมาร์เมลโล,1390,"ขนมมาร์เมลโล, สอดไส้ช็อกโกแลต",NULL,438,6.3,6.4,13.5,0.9,1.21,76,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1,NULL,72.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34.3,1
68,ขนมลา,1614,ขนมลา,NULL,439,2.6,10,16.4,0.7,NULL,44,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,2.09,NULL,70.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,0.13,NULL,NULL,NULL,NULL,NULL,1
70,ขนมเทียน,1609,ขนมเทียน,297,NULL,5.2,31.7,6.6,1.2,NULL,NULL,NULL,53.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1,NULL,NULL,1
71,ขนมเบื้อง,1668,"ขนมเบื้องไทย, ไส้เค็ม",NULL,382,7.57,29,20.9,1.75,2.53,52,244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
71,ขนมเบื้อง,1666,"ขนมเบื้อง, ครีม, ไส้เค็ม",368,NULL,4.53,14.2,6.9,1.57,1.6,13,175,71.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.8,0.63,NULL,1
71,ขนมเบื้อง,1667,"ขนมเบื้อง, ครีม, ไส้หวาน",370,NULL,7.53,16.9,9.56,1.29,NULL,NULL,93,62.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2,NULL,NULL,NULL,NULL,NULL,114,NULL,NULL,NULL,NULL,114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.3,1.2,45.2,1
421,ขนมเม็ดขนุน,1638,เม็ดขนุน,304,NULL,9.45,37.2,12.8,0.93,0.3,116,28,36.01,13,NULL,NULL,0.2,4.57,NULL,0.36,NULL,NULL,NULL,216,0.49,1.86,20,NULL,NULL,NULL,210,21,5.59,NULL,236,NULL,2.36,0.18,NULL,NULL,3.6,NULL,23.15,1
73,ขนมโก๋,1601,ขนมโก๋,NULL,425,4.7,7.1,11.4,1,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.04,NULL,75.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,0.06,NULL,NULL,NULL,NULL,NULL,1
76,ขนมใส่ไส้,1615,ขนมใส่ไส้,NULL,224,2.5,59.2,12.8,0.75,NULL,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.75,NULL,146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1
77,ขนมไหว้พระจันทร์,1618,"ขนมไหว้พระจันทร์, ไส้ทุเรียน + ไข่",375,NULL,7.03,20.8,14.17,1.45,1.37,36,83,53.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.2,NULL,25.04,1
77,ขนมไหว้พระจันทร์,1617,"ขนมไหว้พระจันทร์, ไส้ทุเรียน",345,NULL,5.11,22.8,9.98,1.5,1.24,23,67,56.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.7,NULL,27.54,1
77,ขนมไหว้พระจันทร์,1619,"ขนมไหว้พระจันทร์, ไส้พุทรา",338,NULL,4.44,23.8,9.16,0.54,1.1,34,30,56.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.5,NULL,21.4,1
77,ขนมไหว้พระจันทร์,1622,"ขนมไหว้พระจันทร์, ไส้โหงวยิ้ง",450,NULL,11.04,14.6,24,1.72,3.53,43,189,46.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.6,NULL,27.17,1
