food_id,food_name,id,name,"Energy, by calculation,kcal","Total energy - by calculation,kcal","Protein, total,g","Moisture,g","Fat, total,g","Ash,g","Iron,mg","Calcium,mg","Sodium,mg","Carbohydrate, available,g","b-carotene,mcg","Vitamin D (D2+D3),mcg","Magnesium,mg","Niacin,mg","Fatty acids, total monounsaturated,g","Folate, total,mcg","Riboflavin,mg","Copper,mg","Carbohydrate, total,g","Edible portion,%","Potassium,mg","Fatty acids, total omega-3 polyunsaturated,g","Fatty acids, total omega-6 polyunsaturated,g","Retinol,mcg","Alpha-tocopherol,mg","Vitamin B-6, total,mg","Vitamin B-12,mcg","Phosphorus,mg","Vitamin A; retinol activity equivalent,mcg","Fatty acids, total saturated,g","Vitamin C,mg","Cholesterol,mg","Density,g/mL","Fatty acids, total polyunsaturated,g","Thiamin,mg","True protein,g","Selenium,mcg","Dietary fibre,g","Zinc,mg","Sugars, total,g",Source_id
742,แกงหน่อไม้,1485,ซุปหน่อไม้,NULL,33,2.8,89.7,0.53,2.64,1.3,207,NULL,NULL,NULL,NULL,NULL,0.65,NULL,NULL,0.2,NULL,4.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
531,แกงหมู,1472,แกงหมูชะมวง,NULL,197,10.3,56.5,6.5,2.3,1.1,44,NULL,NULL,142,NULL,NULL,2.9,NULL,NULL,0.18,NULL,24.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,12,NULL,3,NULL,NULL,NULL,0.03,NULL,NULL,NULL,NULL,NULL,1
440,แกงหมูชะมวง,1472,แกงหมูชะมวง,NULL,197,10.3,56.5,6.5,2.3,1.1,44,NULL,NULL,142,NULL,NULL,2.9,NULL,NULL,0.18,NULL,24.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,12,NULL,3,NULL,NULL,NULL,0.03,NULL,NULL,NULL,NULL,NULL,1
441,แกงอ่อมปลา,1478,แกงอ่อมปลา,NULL,53,4.7,89,3.8,2.5,1.8,245,NULL,NULL,462,NULL,NULL,1.7,NULL,NULL,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119,38,NULL,NULL,NULL,NULL,NULL,0.04,NULL,NULL,NULL,NULL,NULL,1
647,แกงอ่อมเนื้อ,1477,แกงอ่อมเนื้อ,NULL,55,3.5,88.8,3.6,2,1.5,45,NULL,NULL,361,NULL,NULL,2,NULL,NULL,0.09,NULL,2.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,30,NULL,NULL,NULL,NULL,NULL,0.04,NULL,NULL,NULL,NULL,NULL,1
442,แกงฮังเล,1479,แกงฮังเล,215,NULL,11.1,62.3,16,2.5,1.1,49,NULL,5.3,63,NULL,NULL,2.7,NULL,NULL,0.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,5,NULL,NULL,NULL,NULL,NULL,0.16,NULL,NULL,2.8,NULL,NULL,1
443,แกงเขียวหวานไก่,1456,"แกงเขียวหวาน, ไก่",101,NULL,7.9,79.2,6.05,2.38,0.58,23,420,3.03,192,NULL,24,NULL,1.93,NULL,NULL,0.11,NULL,NULL,371,0.12,1.94,NULL,NULL,NULL,NULL,94,NULL,3.52,2,16,NULL,2.08,NULL,NULL,NULL,1.4,0.41,1.45,1
445,แกงเผ็ดไก่,1464,"แกงเผ็ด, ไก่",168,NULL,9.22,71,12.46,2.85,NULL,NULL,384,3.66,NULL,NULL,NULL,NULL,3.93,NULL,NULL,NULL,NULL,NULL,434,0.17,4.16,NULL,NULL,NULL,NULL,NULL,NULL,2.65,NULL,35,NULL,4.32,NULL,NULL,NULL,2.4,NULL,3.3,1
502,แกงเหลืองปลา,1476,แกงเหลืองใส่ปลา,NULL,44,7.8,85.5,0.1,3.7,0.8,70,NULL,NULL,55,NULL,NULL,1.9,NULL,NULL,0.04,NULL,2.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,5,NULL,NULL,NULL,NULL,NULL,0.06,NULL,NULL,NULL,NULL,NULL,1
448,แกงเหลืองไก่,1475,แกงเหลืองไก่,46,NULL,5.67,86.8,1.13,2.77,NULL,NULL,417,2.57,NULL,NULL,NULL,NULL,0.29,NULL,NULL,NULL,NULL,NULL,375,0.06,0.24,NULL,NULL,NULL,NULL,NULL,NULL,0.5,NULL,14,NULL,0.28,NULL,NULL,NULL,1.6,NULL,2.57,1
450,แกงไตปลา,1461,แกงไตปลา,NULL,46,4.75,86.3,1.1,3.6,3.79,17,NULL,NULL,5,NULL,NULL,2.7,NULL,NULL,0.1,NULL,4.3,NULL,NULL,NULL,NULL,61,NULL,NULL,NULL,68,62,NULL,NULL,NULL,NULL,NULL,26.53,NULL,NULL,NULL,NULL,NULL,1
451,แก้วมังกร,699,"แก้วมังกร, เนื้อ, สีขาว",56,NULL,1.3,85,0.7,0.8,0.2,3,4,10.3,1,NULL,23,NULL,NULL,NULL,NULL,0.06,NULL,NULL,271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,1.9,0.2,9.3,1
451,แก้วมังกร,700,"แก้วมังกร, เนื้อ, สีชมพู",61,NULL,1.3,84,1,0.6,0.35,5,2,10.12,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,287,NULL,NULL,NULL,NULL,NULL,NULL,38,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,3,0.7,8,1
772,แคนตาลูป,2132,แคนตาลูป,20.36,NULL,0.52,NULL,0.09,NULL,NULL,NULL,5.154,4.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6,NULL,3.61,2
454,แซนวิชไก่,1429,"แซนวิช, ไก่",271,NULL,12.27,47.6,14.34,1.79,1.85,27,372,22.44,25,NULL,26,NULL,4.23,NULL,0.1,0.09,NULL,NULL,192,0.2,0.03,10,NULL,NULL,NULL,120,NULL,3.49,NULL,47,NULL,3.97,0.1,NULL,NULL,1.6,0.75,NULL,1
455,แตงโม,726,"แตงโม, เนื้อเหลือง",31,NULL,0.5,91.7,0.1,0.2,0.14,7,3,6.54,13,NULL,9,NULL,NULL,NULL,NULL,0.05,NULL,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,13,1,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,1,0.1,6.75,1
455,แตงโม,725,"แตงโม, เนื้อแดง",37,NULL,0.81,90.5,0.07,0.26,0.2,10,4,8.07,555,NULL,9,0.2,NULL,NULL,0.02,0.05,NULL,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,11,46,NULL,7,NULL,NULL,NULL,0.03,NULL,0.1,0.3,0.07,8.15,1
456,แมคคาเดเมีย,1734,"แมคคาเดเมียนัท, อบเกลือ",748,NULL,9.05,0.7,75.48,2.2,2.15,46,229,3.52,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7,NULL,NULL,9.1,NULL,3,1
523,แหนมหมู,1024,"แหนม, หมู",115,NULL,19.07,71.2,2.61,3.24,0.41,8,990,3.92,NULL,NULL,10,2.28,NULL,NULL,0.07,0.03,NULL,NULL,194,NULL,NULL,5,NULL,NULL,NULL,177,5,NULL,NULL,NULL,NULL,NULL,0.45,NULL,NULL,NULL,0.73,NULL,1
523,แหนมหมู,1025,"แหนม, หมู, ระดับโรงงาน",111,NULL,18.37,72.4,2.54,3.05,0.41,6,990,3.62,NULL,NULL,10,2.03,1.08,NULL,0.07,0.03,NULL,NULL,194,NULL,0.05,4,NULL,NULL,NULL,172,NULL,1.22,NULL,NULL,NULL,0.05,0.41,NULL,NULL,NULL,0.73,NULL,1
458,แหนมเนื้อ,1023,"แหนม, เนื้อ",117,NULL,17.4,70.8,3.8,4.8,NULL,NULL,NULL,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
462,แห้ว,816,แห้ว,NULL,91,1.2,75.9,0.1,1.5,1,8,261,NULL,NULL,NULL,NULL,2.3,NULL,NULL,0.03,NULL,21.3,NULL,548,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,7,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,1
463,แอปปริคอท,821,แอปริคอท,289,NULL,2.8,21.3,NULL,3.4,1.3,71,45,66.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.78,NULL,NULL,6.3,NULL,41.6,1
464,แอปริคอท,821,แอปริคอท,289,NULL,2.8,21.3,NULL,3.4,1.3,71,45,66.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.78,NULL,NULL,6.3,NULL,41.6,1
465,แอปเปิ้ลเขียว,822,"แอปเปิ้ล, เขียว",48,NULL,0.2,86.4,0.2,0.4,0.16,3,2,9.68,29,NULL,4,NULL,NULL,NULL,NULL,0.06,NULL,NULL,127,NULL,NULL,NULL,NULL,NULL,NULL,6,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,3.2,0.04,8.99,1
466,แอปเปิ้ลแดง,823,"แอปเปิ้ล, แดง",55,NULL,0.2,85,0.14,0.38,0.28,13,58,12,33,NULL,4,0.16,NULL,NULL,0.03,0.06,NULL,NULL,115,NULL,NULL,NULL,NULL,NULL,NULL,10,3,NULL,2,NULL,NULL,NULL,0.02,NULL,NULL,2.3,0.05,10.09,1
468,โจ๊ก,1569,"โจ๊ก, หมู",57,NULL,1.56,87.7,2.63,1.23,0.47,6,NULL,6.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
468,โจ๊ก,173,"โจ๊กกึ่งสำเร็จรูป, พร้อมเครื่องปรุง",350,NULL,9.93,3.4,1.02,9.96,1.04,16,1,74.86,NULL,NULL,NULL,NULL,NULL,NULL,0.03,NULL,NULL,NULL,220,NULL,NULL,1,NULL,NULL,NULL,NULL,1,0.55,NULL,NULL,NULL,NULL,0.45,NULL,NULL,0.9,NULL,2.26,1
75,โตเกียวไส้หมูสับ,1665,"ขนมโตเกียว, หมูสับ",122,NULL,5.97,74.2,4.67,1.17,0.93,24,192,13.97,NULL,NULL,NULL,NULL,1.8,NULL,0.13,NULL,NULL,NULL,NULL,0.12,0.81,112,NULL,NULL,NULL,NULL,112,1.72,NULL,NULL,NULL,0.94,0.11,NULL,NULL,NULL,NULL,4.5,1
471,โรตีบอย,1441,โรตีบอย,424,NULL,8.22,18.4,20.44,1.24,NULL,NULL,NULL,51.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
507,ไก่คาราเกะ,904,"ไก่, สะโพก, ทอด",239,NULL,27.9,56.6,14.2,1.5,1.3,17,216,NULL,NULL,NULL,32,4.83,5.54,NULL,0.46,0.12,NULL,76,236,NULL,NULL,7,NULL,NULL,NULL,204,7,4.36,NULL,121,NULL,4.23,0.05,NULL,NULL,NULL,2.1,NULL,1
507,ไก่คาราเกะ,988,"ไก่, โครง, ชุปแป้งทอด",375,NULL,19.13,35.1,25.27,2.7,1.23,48,494,17.8,NULL,NULL,NULL,NULL,9.37,NULL,NULL,NULL,NULL,NULL,NULL,0.24,4.46,NULL,NULL,NULL,NULL,NULL,NULL,7.76,NULL,84,NULL,4.72,NULL,NULL,NULL,NULL,NULL,NULL,1
558,ไก่ชุบแป้งทอด,988,"ไก่, โครง, ชุปแป้งทอด",375,NULL,19.13,35.1,25.27,2.7,1.23,48,494,17.8,NULL,NULL,NULL,NULL,9.37,NULL,NULL,NULL,NULL,NULL,NULL,0.24,4.46,NULL,NULL,NULL,NULL,NULL,NULL,7.76,NULL,84,NULL,4.72,NULL,NULL,NULL,NULL,NULL,NULL,1
